Presentacion ml,Fecha,Hora,Tiempo 0,Tiempo 1,Tiempo 2,Tiempo 3,Tiempo 4,Temperatura Zona 1,Temperatura Zona 2,Temperatura Zona 3,Temperatura Zona 4,Temperatura Zona 5,Temperatura Zona 6,Temperatura Zona 7,Maquina,Produccion Aceptada,Botella Defectuosa,Produccion Total,Preforma,Turno,Numero de bolsas,Numero de lote,Empleado,Color,Supervisor,Reviso,Observaciones,Goal de piezas,Goal de bolsas,Goal Total
1500,07/05/2021,16:00,1.30,6.10,0.70,5.00,2.20,42.30,25.90,24.90,24.90,24.40,31.00,24.80,5.00,6320.00,135.00,6455.00,35.70,1.00,79.00,Uknown,Merary,Cristal,Guiliano,Beatriz,"3259, 45 Desperdicio, 1 precalentado , 80 Segunda, 9 Quemadas",4800,60,NONE
1500,07/05/2021,17:00,1.30,6.10,0.70,5.00,2.20,42.30,25.90,24.90,24.90,24.40,31.00,24.80,5.00,6320.00,135.00,6455.00,35.70,1.00,79.00,Uknown,Merary,Cristal,Guiliano,Beatriz,"3259, 45 Desperdicio, 1 precalentado , 80 Segunda, 9 Quemadas",4800,60,NONE
1500,06/05/2021,07:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,6080.00,645.00,6725.00,35.70,1.00,76.00,Uknown,Merary,Cristal,Guiliano,"Rayo, Sara",3515,4800,60,NONE
1500,06/05/2021,08:00,1.30,6.10,0.70,4.90,2.20,42.60,24.90,24.00,24.00,24.00,30.20,27.20,5.00,6080.00,645.00,6725.00,35.70,1.00,76.00,Uknown,Merary,Cristal,Guiliano,"Rayo, Sara",3515,4800,60,NONE
1500,06/05/2021,09:00,1.30,6.10,0.70,4.90,2.20,42.60,24.90,24.00,24.00,24.00,30.20,27.20,5.00,6080.00,645.00,6725.00,35.70,1.00,76.00,Uknown,Merary,Cristal,Guiliano,"Rayo, Sara",3515,4800,60,NONE
1500,06/05/2021,10:00,1.30,6.10,0.70,4.90,2.20,42.60,24.90,24.00,24.00,24.00,30.30,27.00,5.00,6080.00,645.00,6725.00,35.70,1.00,76.00,Uknown,Merary,Cristal,Guiliano,"Rayo, Sara",3515,4800,60,NONE
1500,06/05/2021,11:00,1.30,6.10,0.70,4.90,2.20,42.40,24.90,24.00,24.00,24.00,30.30,27.00,5.00,6080.00,645.00,6725.00,35.70,1.00,76.00,Uknown,Merary,Cristal,Guiliano,"Rayo, Sara",3515,4800,60,NONE
1500,06/05/2021,12:00,1.30,6.10,0.70,4.90,2.20,42.40,24.90,24.00,24.00,24.00,30.30,27.00,5.00,6080.00,645.00,6725.00,35.70,1.00,76.00,Uknown,Merary,Cristal,Guiliano,"Rayo, Sara",3515,4800,60,NONE
1500,06/05/2021,13:00,1.30,6.10,0.70,4.90,2.20,42.40,24.90,24.00,24.00,24.00,30.30,27.00,5.00,6080.00,645.00,6725.00,35.70,1.00,76.00,Uknown,Merary,Cristal,Guiliano,"Rayo, Sara",3515,4800,60,NONE
1500,06/05/2021,14:00,1.30,6.10,0.70,4.90,2.20,42.40,24.90,24.00,24.00,24.00,30.30,27.00,5.00,6080.00,645.00,6725.00,35.70,1.00,76.00,Uknown,Merary,Cristal,Guiliano,"Rayo, Sara",3515,4800,60,NONE
1500,06/05/2021,15:00,1.30,6.10,0.70,4.90,2.20,42.40,24.90,24.00,24.00,24.00,30.30,27.00,5.00,6080.00,645.00,6725.00,35.70,1.00,76.00,Uknown,Merary,Cristal,Guiliano,"Rayo, Sara",3515,4800,60,NONE
1500,06/05/2021,16:00,1.30,6.10,0.70,4.90,2.20,42.40,24.90,24.00,24.00,24.00,30.50,26.70,5.00,6080.00,645.00,6725.00,35.70,1.00,76.00,Uknown,Merary,Cristal,Guiliano,"Rayo, Sara",3515,4800,60,NONE
1500,06/05/2021,17:00,1.30,6.10,0.70,4.90,2.20,42.40,24.90,24.00,24.00,24.00,30.50,26.70,5.00,6080.00,645.00,6725.00,35.70,1.00,76.00,Uknown,Merary,Cristal,Guiliano,"Rayo, Sara",3515,4800,60,NONE
1500,05/05/2021,07:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,4960.00,526.00,5486.00,35.70,1.00,62.00,Uknown,Guiliano/Merary,Cristal,Guiliano,Oliver/Sara,"2943 Cierres, 24 Desperdicio, 469 Segunda, 15 Precalentada, 18 Quemada, 62 bolsas de 80 botellas c/u",NONE,NONE,NONE
1500,05/05/2021,08:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,4960.00,526.00,5486.00,35.70,1.00,62.00,Uknown,Guiliano/Merary,Cristal,Guiliano,Oliver/Sara,"2943 Cierres, 24 Desperdicio, 469 Segunda, 15 Precalentada, 18 Quemada, 62 bolsas de 80 botellas c/u",NONE,NONE,NONE
1500,05/05/2021,09:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,4960.00,526.00,5486.00,35.70,1.00,62.00,Uknown,Guiliano/Merary,Cristal,Guiliano,Oliver/Sara,"2943 Cierres, 24 Desperdicio, 469 Segunda, 15 Precalentada, 18 Quemada, 62 bolsas de 80 botellas c/u",NONE,NONE,NONE
1500,05/05/2021,10:00,1.30,6.10,0.70,4.90,2.20,42.70,24.90,23.80,23.80,23.70,29.40,28.50,5.00,4960.00,526.00,5486.00,35.70,1.00,62.00,Uknown,Guiliano/Merary,Cristal,Guiliano,Oliver/Sara,"2943 Cierres, 24 Desperdicio, 469 Segunda, 15 Precalentada, 18 Quemada, 62 bolsas de 80 botellas c/u",NONE,NONE,NONE
1500,05/05/2021,11:00,1.30,6.10,0.70,4.90,2.20,42.70,24.90,23.90,23.90,23.80,29.40,28.00,5.00,4960.00,526.00,5486.00,35.70,1.00,62.00,Uknown,Guiliano/Merary,Cristal,Guiliano,Oliver/Sara,"2943 Cierres, 24 Desperdicio, 469 Segunda, 15 Precalentada, 18 Quemada, 62 bolsas de 80 botellas c/u",NONE,NONE,NONE
1500,05/05/2021,12:00,1.30,6.10,0.70,4.90,2.20,42.70,24.90,23.90,23.90,23.80,29.50,27.50,5.00,4960.00,526.00,5486.00,35.70,1.00,62.00,Uknown,Guiliano/Merary,Cristal,Guiliano,Oliver/Sara,"2943 Cierres, 24 Desperdicio, 469 Segunda, 15 Precalentada, 18 Quemada, 62 bolsas de 80 botellas c/u",NONE,NONE,NONE
1500,05/05/2021,13:00,1.30,6.10,0.70,4.90,2.20,42.70,24.90,23.90,23.90,23.80,29.60,27.50,5.00,4960.00,526.00,5486.00,35.70,1.00,62.00,Uknown,Guiliano/Merary,Cristal,Guiliano,Oliver/Sara,"2943 Cierres, 24 Desperdicio, 469 Segunda, 15 Precalentada, 18 Quemada, 62 bolsas de 80 botellas c/u",NONE,NONE,NONE
1500,05/05/2021,14:00,1.30,6.10,0.70,4.90,2.20,42.70,24.90,23.90,23.90,23.80,29.60,27.50,5.00,4960.00,526.00,5486.00,35.70,1.00,62.00,Uknown,Guiliano/Merary,Cristal,Guiliano,Oliver/Sara,"2943 Cierres, 24 Desperdicio, 469 Segunda, 15 Precalentada, 18 Quemada, 62 bolsas de 80 botellas c/u",NONE,NONE,NONE
1500,05/05/2021,15:00,1.30,6.10,0.70,4.90,2.20,42.70,24.90,23.90,23.90,23.80,29.60,27.50,5.00,4960.00,526.00,5486.00,35.70,1.00,62.00,Uknown,Guiliano/Merary,Cristal,Guiliano,Oliver/Sara,"2943 Cierres, 24 Desperdicio, 469 Segunda, 15 Precalentada, 18 Quemada, 62 bolsas de 80 botellas c/u",NONE,NONE,NONE
1500,05/05/2021,16:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,4960.00,526.00,5486.00,35.70,1.00,62.00,Uknown,Guiliano/Merary,Cristal,Guiliano,Oliver/Sara,"2943 Cierres, 24 Desperdicio, 469 Segunda, 15 Precalentada, 18 Quemada, 62 bolsas de 80 botellas c/u",NONE,NONE,NONE
1500,05/05/2021,17:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,4960.00,526.00,5486.00,35.70,1.00,62.00,Uknown,Guiliano/Merary,Cristal,Guiliano,Oliver/Sara,"2943 Cierres, 24 Desperdicio, 469 Segunda, 15 Precalentada, 18 Quemada, 62 bolsas de 80 botellas c/u",NONE,NONE,NONE
500,27/04/2021,07:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,20.60,1.00,0.00,B210427-117,Polo/Oliver,Cristal,Leopoldo,Oliver,"Salsera 500ml, Maquina 3",NONE,NONE,NONE
500,27/04/2021,08:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,20.60,1.00,0.00,B210427-117,Polo/Oliver,Cristal,Leopoldo,Oliver,"Salsera 500ml, Maquina 3",NONE,NONE,NONE
500,27/04/2021,09:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,20.60,1.00,0.00,B210427-117,Polo/Oliver,Cristal,Leopoldo,Oliver,"Salsera 500ml, Maquina 3",NONE,NONE,NONE
500,27/04/2021,10:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,20.60,1.00,0.00,B210427-117,Polo/Oliver,Cristal,Leopoldo,Oliver,"Salsera 500ml, Maquina 3",NONE,NONE,NONE
500,27/04/2021,11:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,20.60,1.00,0.00,B210427-117,Polo/Oliver,Cristal,Leopoldo,Oliver,"Salsera 500ml, Maquina 3",NONE,NONE,NONE
500,27/04/2021,12:00,1.00,1.40,2.80,2.00,2.00,365.00,275.00,373.00,280.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,20.60,1.00,0.00,B210427-117,Polo/Oliver,Cristal,Leopoldo,Oliver,"Salsera 500ml, Maquina 3",NONE,NONE,NONE
500,27/04/2021,13:00,0.80,1.40,2.80,2.00,2.00,365.00,275.00,373.00,280.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,20.60,1.00,0.00,B210427-117,Polo/Oliver,Cristal,Leopoldo,Oliver,"Salsera 500ml, Maquina 3",NONE,NONE,NONE
500,27/04/2021,14:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,20.60,1.00,0.00,B210427-117,Polo/Oliver,Cristal,Leopoldo,Oliver,"Salsera 500ml, Maquina 3",NONE,NONE,NONE
500,27/04/2021,15:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,20.60,1.00,0.00,B210427-117,Polo/Oliver,Cristal,Leopoldo,Oliver,"Salsera 500ml, Maquina 3",NONE,NONE,NONE
500,27/04/2021,16:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,20.60,1.00,0.00,B210427-117,Polo/Oliver,Cristal,Leopoldo,Oliver,"Salsera 500ml, Maquina 3",NONE,NONE,NONE
500,27/04/2021,17:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,20.60,1.00,0.00,B210427-117,Polo/Oliver,Cristal,Leopoldo,Oliver,"Salsera 500ml, Maquina 3",NONE,NONE,NONE
500,24/04/2021,07:00,1.00,1.40,1.80,1.80,1.80,100.00,369.00,383.00,378.90,0.00,0.00,0.00,2.00,3600.00,175.00,3775.00,20.60,1.00,16.00,Uknown,Rayo,Cristal,Uknown,Evelina,"Seguna 153, precalentada10, quemada 5, desperdicio 7",NONE,NONE,NONE
500,24/04/2021,08:00,1.00,1.40,1.80,1.80,1.80,100.00,369.00,383.00,378.90,0.00,0.00,0.00,2.00,3600.00,175.00,3775.00,20.60,1.00,16.00,Uknown,Rayo,Cristal,Uknown,Evelina,"Seguna 153, precalentada10, quemada 5, desperdicio 7",NONE,NONE,NONE
500,24/04/2021,09:00,1.00,1.40,1.80,1.80,1.80,100.00,369.00,383.00,378.90,0.00,0.00,0.00,2.00,3600.00,175.00,3775.00,20.60,1.00,16.00,Uknown,Rayo,Cristal,Uknown,Evelina,"Seguna 153, precalentada10, quemada 5, desperdicio 7",NONE,NONE,NONE
500,24/04/2021,10:00,1.00,1.40,1.80,1.80,1.80,100.00,369.00,383.00,378.90,0.00,0.00,0.00,2.00,3600.00,175.00,3775.00,20.60,1.00,16.00,Uknown,Rayo,Cristal,Uknown,Evelina,"Seguna 153, precalentada10, quemada 5, desperdicio 7",NONE,NONE,NONE
500,24/04/2021,11:00,1.00,1.40,1.80,1.80,1.80,0.00,369.00,383.00,378.40,0.00,0.00,0.00,2.00,3600.00,175.00,3775.00,20.60,1.00,16.00,Uknown,Rayo,Cristal,Uknown,Evelina,"Seguna 153, precalentada10, quemada 5, desperdicio 7",NONE,NONE,NONE
500,24/04/2021,12:00,1.00,1.40,1.80,1.80,1.80,0.00,369.00,383.00,378.30,0.00,0.00,0.00,2.00,3600.00,175.00,3775.00,20.60,1.00,16.00,Uknown,Rayo,Cristal,Uknown,Evelina,"Seguna 153, precalentada10, quemada 5, desperdicio 7",NONE,NONE,NONE
500,24/04/2021,13:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,3600.00,175.00,3775.00,20.60,1.00,16.00,Uknown,Rayo,Cristal,Uknown,Evelina,"Seguna 153, precalentada10, quemada 5, desperdicio 7",NONE,NONE,NONE
500,24/04/2021,14:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,3600.00,175.00,3775.00,20.60,1.00,16.00,Uknown,Rayo,Cristal,Uknown,Evelina,"Seguna 153, precalentada10, quemada 5, desperdicio 7",NONE,NONE,NONE
500,24/04/2021,15:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,3600.00,175.00,3775.00,20.60,1.00,16.00,Uknown,Rayo,Cristal,Uknown,Evelina,"Seguna 153, precalentada10, quemada 5, desperdicio 7",NONE,NONE,NONE
500,24/04/2021,16:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,3600.00,175.00,3775.00,20.60,1.00,16.00,Uknown,Rayo,Cristal,Uknown,Evelina,"Seguna 153, precalentada10, quemada 5, desperdicio 7",NONE,NONE,NONE
500,24/04/2021,17:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,3600.00,175.00,3775.00,20.60,1.00,16.00,Uknown,Rayo,Cristal,Uknown,Evelina,"Seguna 153, precalentada10, quemada 5, desperdicio 7",NONE,NONE,NONE
500,28/04/2021,07:00,1.00,1.40,1.50,1.80,1.80,0.00,362.00,358.00,367.00,0.00,0.00,0.00,1.00,5625.00,537.00,6162.00,20.00,1.00,25.00,Uknown,"Francisco,Evelina",Cristal,Guiliano,"Polo,Beti,Rayo","405 Segunda, 17 Precalentada, 0 Calentada, 115 Desperdicio",NONE,NONE,NONE
500,28/04/2021,08:00,1.00,1.40,1.50,1.80,1.80,0.00,362.00,358.00,367.00,0.00,0.00,0.00,1.00,5625.00,537.00,6162.00,20.00,1.00,25.00,Uknown,"Francisco,Evelina",Cristal,Guiliano,"Polo,Beti,Rayo","405 Segunda, 17 Precalentada, 0 Calentada, 115 Desperdicio",NONE,NONE,NONE
500,28/04/2021,09:00,1.00,1.40,1.50,1.80,1.80,0.00,362.00,358.00,367.00,0.00,0.00,0.00,1.00,5625.00,537.00,6162.00,20.00,1.00,25.00,Uknown,"Francisco,Evelina",Cristal,Guiliano,"Polo,Beti,Rayo","405 Segunda, 17 Precalentada, 0 Calentada, 115 Desperdicio",NONE,NONE,NONE
500,28/04/2021,10:00,1.00,1.40,1.50,1.80,1.80,0.00,362.00,358.00,365.00,0.00,0.00,0.00,1.00,5625.00,537.00,6162.00,20.00,1.00,25.00,Uknown,"Francisco,Evelina",Cristal,Guiliano,"Polo,Beti,Rayo","405 Segunda, 17 Precalentada, 0 Calentada, 115 Desperdicio",NONE,NONE,NONE
500,28/04/2021,11:00,1.00,1.40,1.50,1.80,1.80,0.00,362.00,358.00,365.00,0.00,0.00,0.00,1.00,5625.00,537.00,6162.00,20.00,1.00,25.00,Uknown,"Francisco,Evelina",Cristal,Guiliano,"Polo,Beti,Rayo","405 Segunda, 17 Precalentada, 0 Calentada, 115 Desperdicio",NONE,NONE,NONE
500,28/04/2021,12:00,1.00,1.40,1.50,1.80,1.80,0.00,362.00,358.00,365.00,0.00,0.00,0.00,1.00,5625.00,537.00,6162.00,20.00,1.00,25.00,Uknown,"Francisco,Evelina",Cristal,Guiliano,"Polo,Beti,Rayo","405 Segunda, 17 Precalentada, 0 Calentada, 115 Desperdicio",NONE,NONE,NONE
500,28/04/2021,13:00,1.00,1.40,1.50,1.80,1.80,0.00,360.00,353.00,359.00,0.00,0.00,0.00,1.00,5625.00,537.00,6162.00,20.00,1.00,25.00,Uknown,"Francisco,Evelina",Cristal,Guiliano,"Polo,Beti,Rayo","405 Segunda, 17 Precalentada, 0 Calentada, 115 Desperdicio",NONE,NONE,NONE
500,28/04/2021,14:00,1.00,1.40,1.50,1.80,1.80,0.00,360.00,353.00,359.00,0.00,0.00,0.00,1.00,5625.00,537.00,6162.00,20.00,1.00,25.00,Uknown,"Francisco,Evelina",Cristal,Guiliano,"Polo,Beti,Rayo","405 Segunda, 17 Precalentada, 0 Calentada, 115 Desperdicio",NONE,NONE,NONE
500,28/04/2021,15:00,1.00,1.40,1.50,1.80,1.80,0.00,368.00,348.00,354.00,0.00,0.00,0.00,1.00,5625.00,537.00,6162.00,20.00,1.00,25.00,Uknown,"Francisco,Evelina",Cristal,Guiliano,"Polo,Beti,Rayo","405 Segunda, 17 Precalentada, 0 Calentada, 115 Desperdicio",NONE,NONE,NONE
500,28/04/2021,16:00,1.00,1.40,1.50,1.80,1.80,0.00,366.00,346.00,352.00,0.00,0.00,0.00,1.00,5625.00,537.00,6162.00,20.00,1.00,25.00,Uknown,"Francisco,Evelina",Cristal,Guiliano,"Polo,Beti,Rayo","405 Segunda, 17 Precalentada, 0 Calentada, 115 Desperdicio",NONE,NONE,NONE
500,28/04/2021,17:00,1.00,1.40,1.50,1.80,1.80,0.00,366.00,346.00,352.00,0.00,0.00,0.00,1.00,5625.00,537.00,6162.00,20.00,1.00,25.00,Uknown,"Francisco,Evelina",Cristal,Guiliano,"Polo,Beti,Rayo","405 Segunda, 17 Precalentada, 0 Calentada, 115 Desperdicio",NONE,NONE,NONE
500,29/04/2021,07:00,0.60,1.40,2.00,1.80,1.80,403.00,396.00,373.00,391.10,0.00,0.00,0.00,2.00,4275.00,432.00,4707.00,0.00,1.00,19.00,Uknown,Polo - Oliver,Cristal,Uknown,Oliver- Evelin,"229 Segunda, 130 Desperdicio, Precalentada 45, Calentada 28, 19 bolsas de 225",NONE,NONE,NONE
500,29/04/2021,08:00,0.50,1.40,2.00,1.80,1.80,398.00,373.00,395.00,391.10,0.00,0.00,0.00,2.00,4275.00,432.00,4707.00,0.00,1.00,19.00,Uknown,Polo - Oliver,Cristal,Uknown,Oliver- Evelin,"229 Segunda, 130 Desperdicio, Precalentada 45, Calentada 28, 19 bolsas de 225",NONE,NONE,NONE
500,29/04/2021,09:00,0.50,1.40,2.00,1.80,1.80,396.00,373.00,395.00,391.10,0.00,0.00,0.00,2.00,4275.00,432.00,4707.00,0.00,1.00,19.00,Uknown,Polo - Oliver,Cristal,Uknown,Oliver- Evelin,"229 Segunda, 130 Desperdicio, Precalentada 45, Calentada 28, 19 bolsas de 225",NONE,NONE,NONE
500,29/04/2021,10:00,0.50,1.50,1.90,1.80,1.80,395.00,363.00,392.00,379.10,0.00,0.00,0.00,2.00,4275.00,432.00,4707.00,0.00,1.00,19.00,Uknown,Polo - Oliver,Cristal,Uknown,Oliver- Evelin,"229 Segunda, 130 Desperdicio, Precalentada 45, Calentada 28, 19 bolsas de 225",NONE,NONE,NONE
500,29/04/2021,11:00,0.50,1.50,1.90,1.80,1.80,395.00,363.00,342.00,371.10,0.00,0.00,0.00,2.00,4275.00,432.00,4707.00,0.00,1.00,19.00,Uknown,Polo - Oliver,Cristal,Uknown,Oliver- Evelin,"229 Segunda, 130 Desperdicio, Precalentada 45, Calentada 28, 19 bolsas de 225",NONE,NONE,NONE
500,29/04/2021,12:00,0.50,1.40,2.00,1.80,1.80,385.00,360.00,389.00,367.10,0.00,0.00,0.00,2.00,4275.00,432.00,4707.00,0.00,1.00,19.00,Uknown,Polo - Oliver,Cristal,Uknown,Oliver- Evelin,"229 Segunda, 130 Desperdicio, Precalentada 45, Calentada 28, 19 bolsas de 225",NONE,NONE,NONE
