171,1,24,143,2,34,84,87,22,45,40
216,1,25,51,2,43,0,216,27,57,55
173,1,24,154,0,38,91,82,19,41,45
298,1,47,88,2,64,158,140,35,73,66
270,1,50,115,1,64,146,124,35,81,57
165,1,33,35,1,29,165,0,16,37,33
136,1,19,122,1,27,79,57,18,25,36
62,2,8,34,2,13,35,27,8,13,16
234,2,42,191,1,45,120,114,31,67,54
178,1,24,168,1,32,86,92,20,44,33
80,2,18,53,0,11,40,40,11,15,24
196,1,25,89,1,40,93,103,29,45,41
260,2,49,61,2,64,143,117,28,56,69
298,1,38,250,0,55,134,164,50,77,67
77,1,8,60,1,19,41,36,12,19,27
69,1,14,68,1,10,26,43,9,21,18
35,1,7,28,1,10,19,16,6,10,11
35,2,8,24,1,6,19,16,10,12,6
253,2,47,61,2,35,116,137,31,74,58
284,1,41,31,2,53,123,161,37,72,62
73,1,7,57,2,16,44,29,11,23,19
212,1,35,182,0,43,108,104,21,42,45
292,2,48,208,0,60,144,148,36,75,81
71,1,8,60,1,19,34,37,6,21,20
73,1,11,69,1,16,35,38,16,13,25
159,1,30,149,2,36,74,85,15,45,41
147,1,19,6,0,34,79,68,14,37,30
271,1,43,266,0,57,125,146,35,64,66
70,2,17,60,1,13,39,31,12,17,13
52,2,13,15,0,7,21,31,4,13,22
147,1,28,131,2,23,64,83,18,36,36
263,1,39,14,2,49,132,131,29,61,68
220,1,40,177,0,55,110,110,27,52,45
178,2,33,78,2,28,82,96,21,37,43
22,1,5,9,2,5,11,11,4,2,4
259,2,40,223,2,54,122,137,38,67,48
281,1,48,228,1,65,151,130,29,70,58
176,1,33,33,2,37,90,86,27,41,40
289,1,48,36,0,67,0,289,35,80,63
248,1,37,229,1,41,118,130,24,65,68
224,1,28,10,2,51,109,115,34,45,52
222,1,43,73,0,47,109,113,20,50,42
59,1,9,39,1,12,27,32,6,16,16
42,2,12,42,1,9,21,21,8,7,7
68,1,6,17,1,12,34,34,5,19,16
21,1,3,8,1,5,12,9,3,6,2
149,1,17,97,0,27,77,72,11,31,37
193,1,27,174,2,41,94,99,22,47,39
95,2,15,28,0,14,46,49,14,20,27
108,1,17,26,2,21,52,56,13,27,27
236,1,40,137,0,45,116,120,28,57,55
225,1,32,143,2,38,97,128,43,61,51
283,1,43,112,0,61,145,138,36,73,69
93,0,9,18,1,19,93,0,10,23,20
93,2,17,41,0,16,46,47,10,19,18
65,2,16,33,2,13,31,34,10,10,22
86,1,12,77,0,12,41,45,10,23,16
186,1,34,118,2,43,97,89,30,45,46
241,1,43,192,1,39,112,129,33,65,56
57,2,6,50,2,7,22,35,8,15,25
230,1,34,190,0,49,111,119,27,60,59
127,1,17,126,0,22,64,63,13,32,35
237,1,40,125,2,43,0,237,36,67,48
253,1,38,90,2,58,127,126,36,64,62
168,1,26,84,2,43,81,87,23,43,43
106,1,15,45,2,16,47,59,16,28,27
156,1,25,135,0,27,70,86,17,40,36
250,1,42,139,1,50,126,124,29,55,56
142,1,21,114,2,33,77,65,14,35,27
252,1,39,231,2,55,123,129,30,72,62
224,2,36,23,2,50,118,106,26,54,47
61,1,9,60,1,9,34,27,4,13,17
151,1,21,94,0,26,78,73,25,39,36
100,1,15,58,1,22,56,44,11,25,18
71,1,9,59,2,13,37,34,7,16,7
284,1,46,283,0,50,140,144,36,80,71
205,1,35,20,2,35,98,107,18,53,38
270,1,37,32,1,52,141,129,40,52,66
171,1,27,62,2,35,85,86,25,44,37
179,1,25,62,2,42,92,87,22,52,39
162,2,35,14,1,41,97,65,23,43,35
245,1,37,10,1,51,122,123,27,63,51
74,2,17,42,0,17,36,38,7,22,12
70,1,9,1,2,13,36,34,5,15,19
224,1,42,82,1,45,110,114,27,53,60
203,1,35,137,2,43,106,97,24,59,44
46,1,3,34,1,10,26,20,4,13,14
70,1,13,1,1,17,37,33,8,19,18
282,2,52,13,2,57,133,149,43,69,67
110,1,15,58,2,26,55,55,17,21,30
244,1,43,42,0,49,124,120,31,68,56
279,1,36,273,1,58,126,153,35,71,62
222,1,33,112,1,46,113,109,31,56,42
276,1,50,231,1,68,137,139,32,64,57
246,1,44,89,2,59,126,120,42,65,53
291,1,45,229,2,58,135,156,31,76,76
179,1,25,83,1,41,92,87,23,46,39
190,1,31,96,2,42,95,95,26,65,41
172,2,37,171,0,29,78,94,22,47,41
127,1,14,13,1,23,62,65,19,29,31
41,2,5,24,2,10,26,15,3,10,9
149,1,32,52,0,43,79,70,21,35,37
46,1,11,21,2,9,25,21,5,13,13
68,1,9,59,0,9,38,30,8,17,16
178,2,30,16,1,30,80,98,23,33,41
253,1,36,14,1,49,128,125,23,65,63
250,1,37,193,2,52,123,127,32,69,67
85,1,9,51,2,15,46,39,12,25,18
192,1,31,48,0,28,84,108,23,50,56
253,1,39,82,2,45,128,125,23,60,58
35,2,8,5,2,5,20,15,2,10,4
163,1,21,22,0,29,88,75,22,45,43
69,2,12,52,1,16,34,35,9,16,17
297,1,53,63,2,65,144,153,39,83,71
242,1,46,42,0,48,119,123,22,62,47
129,1,26,2,1,22,68,61,15,30,25
100,2,19,81,2,21,46,54,8,15,28
146,1,25,10,2,23,61,85,22,37,29
126,0,26,123,0,18,64,62,18,39,26
261,1,41,64,0,55,135,126,29,72,70
130,2,17,105,0,25,69,61,24,32,19
189,1,36,2,1,41,101,88,22,53,39
20,1,3,14,2,2,7,13,5,6,2
256,1,47,51,0,49,130,126,31,66,60
114,1,20,21,1,20,53,61,14,33,21
135,1,25,95,2,24,63,72,16,31,35
293,2,45,270,2,64,163,130,42,78,74
98,2,14,71,0,16,57,41,11,22,20
125,1,22,110,1,25,68,57,13,35,33
84,1,9,76,2,21,42,42,6,21,25
248,1,28,195,0,50,119,129,29,62,65
31,1,4,12,2,7,19,12,8,1,3
83,1,14,51,0,18,42,41,9,23,12
91,2,19,44,2,18,47,44,13,21,16
82,1,12,6,2,23,43,39,12,15,23
168,2,28,110,2,35,78,90,23,47,33
